persona,moment,rating,line,when (for the writer),character (for the writer)
jeddi,hello,clean,,The game starts,"sweet grandpa: warm, kind, proverbs"
jeddi,hello,18,,The game starts,"sweet grandpa: warm, kind, proverbs"
jeddi,pick,clean,,It picks a contract,"sweet grandpa: warm, kind, proverbs"
jeddi,pick,18,,It picks a contract,"sweet grandpa: warm, kind, proverbs"
jeddi,declare,clean,,It declares the K♥,"sweet grandpa: warm, kind, proverbs"
jeddi,declare,18,,It declares the K♥,"sweet grandpa: warm, kind, proverbs"
jeddi,setup,clean,,It plays a trap: flushes the K♥ or throws a queen/K♥ onto someone,"sweet grandpa: warm, kind, proverbs"
jeddi,setup,18,,It plays a trap: flushes the K♥ or throws a queen/K♥ onto someone,"sweet grandpa: warm, kind, proverbs"
jeddi,dumped_on_you,clean,,You take points because of its card,"sweet grandpa: warm, kind, proverbs"
jeddi,dumped_on_you,18,,You take points because of its card,"sweet grandpa: warm, kind, proverbs"
jeddi,took_points,clean,,It takes the K♥ or a big pile of points itself,"sweet grandpa: warm, kind, proverbs"
jeddi,took_points,18,,It takes the K♥ or a big pile of points itself,"sweet grandpa: warm, kind, proverbs"
jeddi,you_took_king,clean,,You take the K♥,"sweet grandpa: warm, kind, proverbs"
jeddi,you_took_king,18,,You take the K♥,"sweet grandpa: warm, kind, proverbs"
jeddi,sweep,clean,,Anyone takes all 8 tricks in general,"sweet grandpa: warm, kind, proverbs"
jeddi,sweep,18,,Anyone takes all 8 tricks in general,"sweet grandpa: warm, kind, proverbs"
jeddi,trix_out,clean,,It goes out first in trix,"sweet grandpa: warm, kind, proverbs"
jeddi,trix_out,18,,It goes out first in trix,"sweet grandpa: warm, kind, proverbs"
jeddi,near_1000,clean,,Someone passes 900,"sweet grandpa: warm, kind, proverbs"
jeddi,near_1000,18,,Someone passes 900,"sweet grandpa: warm, kind, proverbs"
jeddi,reset_1000,clean,,Someone lands on exactly 1000 and goes back to 0,"sweet grandpa: warm, kind, proverbs"
jeddi,reset_1000,18,,Someone lands on exactly 1000 and goes back to 0,"sweet grandpa: warm, kind, proverbs"
jeddi,game_won,clean,,It wins the game,"sweet grandpa: warm, kind, proverbs"
jeddi,game_won,18,,It wins the game,"sweet grandpa: warm, kind, proverbs"
jeddi,game_lost,clean,,It loses the game,"sweet grandpa: warm, kind, proverbs"
jeddi,game_lost,18,,It loses the game,"sweet grandpa: warm, kind, proverbs"
jeddi,hurry_up,clean,,You take more than 20 seconds,"sweet grandpa: warm, kind, proverbs"
jeddi,hurry_up,18,,You take more than 20 seconds,"sweet grandpa: warm, kind, proverbs"
jeddi,banter,clean,,Answering another persona that just talked,"sweet grandpa: warm, kind, proverbs"
jeddi,banter,18,,Answering another persona that just talked,"sweet grandpa: warm, kind, proverbs"
je7ch,hello,clean,,The game starts,"the donkey: confused, proud of bad moves"
je7ch,hello,18,,The game starts,"the donkey: confused, proud of bad moves"
je7ch,pick,clean,,It picks a contract,"the donkey: confused, proud of bad moves"
je7ch,pick,18,,It picks a contract,"the donkey: confused, proud of bad moves"
je7ch,declare,clean,,It declares the K♥,"the donkey: confused, proud of bad moves"
je7ch,declare,18,,It declares the K♥,"the donkey: confused, proud of bad moves"
je7ch,setup,clean,,It plays a trap: flushes the K♥ or throws a queen/K♥ onto someone,"the donkey: confused, proud of bad moves"
je7ch,setup,18,,It plays a trap: flushes the K♥ or throws a queen/K♥ onto someone,"the donkey: confused, proud of bad moves"
je7ch,dumped_on_you,clean,,You take points because of its card,"the donkey: confused, proud of bad moves"
je7ch,dumped_on_you,18,,You take points because of its card,"the donkey: confused, proud of bad moves"
je7ch,took_points,clean,,It takes the K♥ or a big pile of points itself,"the donkey: confused, proud of bad moves"
je7ch,took_points,18,,It takes the K♥ or a big pile of points itself,"the donkey: confused, proud of bad moves"
je7ch,you_took_king,clean,,You take the K♥,"the donkey: confused, proud of bad moves"
je7ch,you_took_king,18,,You take the K♥,"the donkey: confused, proud of bad moves"
je7ch,sweep,clean,,Anyone takes all 8 tricks in general,"the donkey: confused, proud of bad moves"
je7ch,sweep,18,,Anyone takes all 8 tricks in general,"the donkey: confused, proud of bad moves"
je7ch,trix_out,clean,,It goes out first in trix,"the donkey: confused, proud of bad moves"
je7ch,trix_out,18,,It goes out first in trix,"the donkey: confused, proud of bad moves"
je7ch,near_1000,clean,,Someone passes 900,"the donkey: confused, proud of bad moves"
je7ch,near_1000,18,,Someone passes 900,"the donkey: confused, proud of bad moves"
je7ch,reset_1000,clean,,Someone lands on exactly 1000 and goes back to 0,"the donkey: confused, proud of bad moves"
je7ch,reset_1000,18,,Someone lands on exactly 1000 and goes back to 0,"the donkey: confused, proud of bad moves"
je7ch,game_won,clean,,It wins the game,"the donkey: confused, proud of bad moves"
je7ch,game_won,18,,It wins the game,"the donkey: confused, proud of bad moves"
je7ch,game_lost,clean,,It loses the game,"the donkey: confused, proud of bad moves"
je7ch,game_lost,18,,It loses the game,"the donkey: confused, proud of bad moves"
je7ch,hurry_up,clean,,You take more than 20 seconds,"the donkey: confused, proud of bad moves"
je7ch,hurry_up,18,,You take more than 20 seconds,"the donkey: confused, proud of bad moves"
je7ch,banter,clean,,Answering another persona that just talked,"the donkey: confused, proud of bad moves"
je7ch,banter,18,,Answering another persona that just talked,"the donkey: confused, proud of bad moves"
chmeyti,hello,clean,,The game starts,"playful opportunist: gloats, fake sympathy"
chmeyti,hello,18,,The game starts,"playful opportunist: gloats, fake sympathy"
chmeyti,pick,clean,,It picks a contract,"playful opportunist: gloats, fake sympathy"
chmeyti,pick,18,,It picks a contract,"playful opportunist: gloats, fake sympathy"
chmeyti,declare,clean,,It declares the K♥,"playful opportunist: gloats, fake sympathy"
chmeyti,declare,18,,It declares the K♥,"playful opportunist: gloats, fake sympathy"
chmeyti,setup,clean,,It plays a trap: flushes the K♥ or throws a queen/K♥ onto someone,"playful opportunist: gloats, fake sympathy"
